,u,i
293,1057,2086
294,641,710
295,3851,1236
296,919,2152
297,4057,1112
298,3499,2282
299,3036,1060
300,3416,527
301,264,1137
302,3898,301
303,725,2286
304,4806,2139
305,764,2214
306,1003,1476
307,4652,1672
308,889,408
309,4251,1328
310,2446,1194
311,3714,1123
312,78,1886
313,904,1470
314,2058,331
315,1557,2035
316,4826,512
317,2023,1276
318,2797,670
319,2396,326
320,3612,65
321,38,1706
322,69,1019
323,2361,1271
324,2304,737
325,4699,1868
326,2803,1616
327,1249,1101
328,3668,1128
329,2171,1147
330,899,1476
331,2860,1369
332,2259,213
333,2422,1897
334,2172,968
335,1512,1861
336,103,1727
337,2656,34
338,142,1655
339,2819,1718
340,1004,896
341,613,1240
342,97,1912
343,1977,1631
344,727,1527
345,2659,1436
346,4635,2391
347,4239,2391
348,3138,158
349,532,2190
350,1707,1928
351,2421,517
352,1017,727
353,1738,1241
354,2584,2201
355,2178,1513
356,1123,1877
357,717,1189
358,3303,1134
359,1949,1461
360,3262,1133
361,4631,1868
362,467,260
363,641,2133
364,2358,168
365,1518,2406
366,2763,1385
367,356,2149
368,232,393
369,2195,1867
370,2236,1868
371,3385,385
372,1285,1831
373,3652,1668
374,4806,529
375,1279,2016
376,1160,604
377,2777,687
378,633,1087
379,977,897
380,2868,805
381,3300,462
382,3802,1612
383,438,619
384,3836,1196
385,1372,1426
386,4515,730
387,3833,144
388,2090,888
389,306,1631
390,553,1508
391,4228,673
392,2853,123
393,89,815
394,1274,1241
395,1264,553
396,2260,2238
397,357,1569
398,1740,482
399,680,502
400,4438,1422
401,2084,292
402,4042,1422
403,3753,565
404,2510,2386
405,3721,1781
406,3413,1628
407,2716,10
408,1671,1062
409,1413,1026
410,368,2078
411,456,1925
412,1564,441
413,891,1853
414,4738,1310
415,4239,431
416,3623,2377
417,1005,2140
418,10,1057
419,507,1863
420,3025,1115
421,2866,304
422,1735,1612
423,3410,175
424,3912,1325
425,2943,1463
426,1544,2017
427,2817,2290
428,492,400
429,4286,977
430,3622,997
431,3036,873
432,2103,668
433,4066,2142
434,1941,1838
435,2538,596
436,79,1170
437,2417,1767
438,667,2094
439,2654,956
440,3576,1002
441,1349,1899
442,1089,282
443,1617,401
444,156,77
445,3608,2388
446,2147,2064
447,3587,1511
448,2207,617
449,3428,700
450,1238,755
451,3910,474
452,4376,1967
453,4761,1778
454,172,960
455,1789,1043
456,4091,1983
457,2604,438
458,486,2059
459,520,1643
460,1301,1454
461,3192,1362
462,3947,2204
463,103,1540
464,3194,654
465,629,1586
466,1449,1325
467,97,1725
468,2281,1855
469,4464,1383
470,4302,301
471,2805,320
472,3870,644
473,4367,1450
474,934,1818
475,970,1475
476,2083,335
477,3491,998
478,3855,2214
479,426,72
480,2924,2082
481,589,1756
482,3261,1475
483,4570,1405
484,2703,393
485,805,68
486,700,1772
487,2909,269
488,1799,1680
489,1606,1285
490,2036,869
491,673,1080
492,48,1028
493,488,1300
494,2790,2240
495,3277,2358
496,918,884
497,238,371
498,2535,967
499,4097,2097
500,1504,227
501,167,1659
502,1693,880
503,3766,1768
504,2675,223
505,99,966
506,37,88
507,2401,1906
508,3836,1009
509,1654,171
510,3330,2369
511,752,1531
512,4828,1040
513,1614,772
514,1208,84
515,1705,890
516,2059,1388
517,187,32
518,3924,75
519,1064,305
520,2024,2333
521,2490,1574
522,3704,1240
523,839,1126
524,1178,592
525,4352,1461
526,4443,1579
527,1239,1999
528,1015,2291
529,2789,860
530,4341,1302
531,1543,2410
532,1419,654
533,2449,1923
534,2590,650
535,1485,2405
536,3720,2123
537,2066,1404
538,657,1270
539,323,2148
540,2993,1794
541,3526,2257
542,2070,2277
543,2409,1743
544,745,336
545,1625,880
546,4636,65
547,2215,1877
548,3025,928
549,1621,1138
550,783,793
551,2056,1066
552,189,54
553,2902,2026
554,4108,1077
555,2699,943
556,1861,598
557,925,2374
558,2420,2282
559,4,274
560,4113,1421
561,3769,1611
562,1425,1199
563,360,875
564,2584,404
565,2474,1764
566,3816,676
567,617,1440
568,2953,1964
569,2698,691
570,3078,158
571,1856,604
572,359,623
573,1283,742
574,84,1327
575,3816,1026
576,561,757
577,818,1322
578,422,1322
579,2750,1231
580,2024,373
581,2149,794
582,1745,1712
583,1719,491
584,4458,1432
585,2627,2329
586,4883,672
587,3057,1913
588,4826,138
589,249,2333
590,4304,965
591,3798,2325
592,3294,1102
593,4233,2253
594,3111,1395
595,3947,1667
596,3541,979
597,3572,292
598,3668,754
599,3955,30
600,2136,1718
601,2511,841
602,4193,2073
603,1521,102
604,588,2149
605,1851,1734
606,3573,113
607,2327,1663
608,4844,313
609,1260,1266
610,1296,923
611,2567,1123
612,3009,1468
613,4285,2012
614,2871,1534
615,4767,1786
616,2280,1066
617,2321,1067
618,3214,1873
619,2818,1873
620,4358,46
621,4578,2264
622,3708,1627
623,2557,785
624,1836,271
625,1841,615
626,4239,2017
627,1749,1026
628,6,1770
629,3395,349
630,3538,657
631,3733,344
632,2272,20
633,2571,87
634,1607,569
635,3503,821
636,1641,153
637,801,2391
638,2948,10
639,140,430
640,2416,149
641,3658,1109
642,1571,2043
643,4749,402
644,387,307
645,1658,507
646,2253,1848
647,4421,344
648,3402,365
649,1232,1796
650,664,2278
651,2930,1309
652,1120,831
653,875,246
654,2872,1304
655,1309,703
656,4669,42
657,4253,2049
658,3229,1726
659,956,2278
660,1711,868
661,4352,1274
662,1859,1520
663,260,1262
664,4685,925
665,4664,48
666,4158,1408
667,3038,2131
668,1572,1463
669,1906,585
670,3910,2060
671,882,262
672,4869,453
673,2102,874
674,4399,1470
675,2368,1555
676,4183,125
677,2784,679
678,4675,587
679,3178,606
680,3954,73
681,2677,2310
682,2703,1279
683,127,2022
684,4552,1685
685,2589,211
686,2403,1741
687,2559,1500
688,4106,1598
689,2462,1567
690,564,1242
691,1421,139
692,4108,890
693,1928,1633
694,4163,1351
695,857,1494
696,2011,355
697,3969,1485
698,3964,1141
699,1830,2229
700,1104,1371
701,703,1027
702,3781,1434
703,170,564
704,2473,2106
705,2822,2260
706,3309,2378
707,3128,88
708,2130,986
709,1452,2054
710,3530,1034
711,2504,638
712,2447,104
713,1884,930
714,4642,423
715,42,1668
716,3053,853
717,2182,1526
718,4417,1244
719,3362,1608
720,2283,2332
721,3083,695
722,4366,1656
723,1437,591
724,3049,330
725,4509,1183
726,336,1741
727,2454,120
728,3445,680
729,3942,1486
730,4773,1414
731,3374,1968
732,1999,1418
733,3038,521
734,691,2090
735,4460,136
736,1282,1777
737,4675,2010
738,4050,1958
739,3592,1080
740,4485,1886
741,1625,2116
742,252,1639
743,2549,2235
744,3359,1286
745,2922,1285
746,1184,2373
747,1836,84
748,1492,274
749,2390,1424
750,4544,1712
751,1065,961
752,788,2373
753,1770,1716
754,1369,1372
755,1806,1373
756,2773,1162
757,686,2096
758,1611,905
759,1986,28
760,4446,2308
761,3262,572
762,4225,619
763,3099,2271
764,3995,1096
765,3807,1045
766,3463,1235
767,510,1274
768,2067,2060
769,2540,1718
770,293,1239
771,986,1203
772,642,1393
773,4718,902
774,1848,444
775,3028,526
776,4110,1985
777,1811,1316
778,4591,2258
779,2683,1245
780,2156,1728
781,3365,1050
782,598,1471
783,2213,1481
784,2525,255
785,2834,1010
786,310,1943
787,2555,2349
788,4162,1744
789,172,2009
790,3136,1348
791,433,64
792,1828,2020
793,2886,419
794,4880,1206
795,3471,1072
796,208,885
797,2608,2360
798,1137,1348
799,913,1640
800,851,762
801,3246,1893
802,665,2292
803,885,346
804,1881,2031
805,3777,2283
806,4090,528
807,449,947
808,3188,1888
809,2128,1908
810,287,2117
811,1665,686
812,328,2118
813,3566,1282
814,2162,1492
815,2126,1835
816,357,1358
817,2659,2298
818,1005,1579
819,4305,1621
820,3338,1832
821,3610,76
822,2518,1312
823,2179,1846
824,4887,1222
825,2707,1965
826,1143,762
827,493,2343
828,2365,1447
829,2420,1908
830,969,2272
831,4701,1971
832,745,312
833,3940,2058
834,581,1409
835,4251,230
836,1889,1868
837,2627,1605
838,2997,384
839,1756,2278
840,3397,1257
841,3345,1067
842,418,75
843,4714,1802
844,170,727
845,4642,236
846,3000,1786
847,4899,801
848,4049,2351
849,1633,343
850,3653,2351
851,2187,1683
852,2130,1149
853,4854,1058
854,1495,409
855,4549,1176
856,1085,2231
857,1556,1816
858,2275,749
859,2903,1072
860,1270,1230
861,2801,795
862,2665,934
863,4535,2217
864,423,799
865,371,609
866,2704,862
867,732,1554
868,2445,2099
869,4224,1012
870,2321,343
871,4320,1474
872,1357,825
873,1789,482
874,4557,663
875,4500,129
876,3197,1145
877,4038,1761
878,2624,1283
879,1543,426
880,762,615
881,639,1713
882,1439,76
883,4080,482
884,97,1164
885,3056,159
886,881,1246
887,1805,1365
888,2087,297
889,3953,1838
890,3932,961
891,1026,846
892,1184,2186
893,401,794
894,210,1980
895,3236,2197
896,3606,976
897,1749,652
898,1861,1647
899,3509,1043
900,3538,283
901,4816,900
902,626,323
903,3477,2259
904,3881,622
905,2816,298
906,2143,1710
907,1026,1196
908,2790,1329
909,4037,381
910,4560,2408
911,1477,1657
912,3727,155
913,1799,1119
914,3530,2270
915,13,281
916,3908,1664
917,1382,1016
918,3340,2146
919,4369,561
920,2380,118
921,4871,1711
922,4652,2347
923,3243,2213
924,3217,992
925,4063,1952
926,254,343
927,3652,920
928,11,1339
929,1659,735
930,196,338
931,3336,1623
932,4339,1069
933,1469,611
934,3807,1208
935,4643,1480
936,601,1555
937,275,1570
938,3945,391
939,3480,1752
940,2788,478
941,2048,668
942,1055,1910
943,1490,1838
944,91,2392
945,2259,888
946,3537,1505
947,4540,951
948,956,1904
949,3475,627
950,1789,1905
951,3659,936
952,4196,1141
953,4536,1209
954,3039,1228
955,2132,2244
956,3434,1757
957,512,1109
958,441,2397
959,1748,2254
960,1696,2064
961,328,1931
962,261,709
963,691,293
964,3307,2332
965,3178,232
966,404,236
967,3953,228
968,2215,1316
969,2544,94
970,2153,438
971,277,1592
972,4014,1635
973,1827,453
974,2324,1259
975,4626,2199
976,1990,2137
977,3764,706
978,3483,464
979,2227,1326
980,267,123
981,4790,321
982,2944,186
983,3508,2214
984,3888,1681
985,1166,1875
986,4406,331
987,2262,731
988,426,1284
989,4497,449
990,171,11
991,2848,74
992,2443,2240
993,4217,809
994,2498,449
995,2341,1963
996,2464,84
997,3739,1938
998,4515,1405
999,4422,1214
1000,4762,1282
1001,715,1013
1002,38,771
1003,3665,2174
1004,4611,1086
1005,1027,2039
1006,1608,1038
1007,1264,1228
1008,3941,1291
1009,4355,342
1010,3352,896
1011,3885,1359
1012,4341,2164
1013,3250,619
1014,2813,618
1015,671,310
1016,327,500
1017,2906,28
1018,1158,428
1019,4535,2380
1020,4377,1040
1021,3307,372
1022,4584,1518
1023,4336,2170
1024,339,510
1025,4769,517
1026,815,439
1027,3492,502
1028,1317,1589
1029,2549,1861
1030,744,1727
1031,4486,2114
1032,687,1193
1033,1031,1003
1034,158,1603
1035,1087,2066
1036,1359,310
1037,4385,527
1038,1866,1804
1039,1799,582
1040,2184,393
1041,2702,2076
1042,2733,1389
1043,3015,321
1044,3178,2005
1045,1581,1820
1046,4542,2396
1047,3816,1538
1048,4354,2345
1049,154,1080
1050,488,202
1051,3287,1948
1052,3328,1949
1053,57,1147
1054,4062,1944
1055,3995,722
1056,695,680
1057,2971,399
1058,2007,881
1059,1997,193
1060,228,1968
1061,2996,2149
1062,2600,2149
1063,3304,50
1064,2595,1805
1065,2538,1271
1066,2345,876
1067,2790,1492
1068,3124,614
1069,4120,2299
1070,2834,286
1071,3995,1072
1072,3310,215
1073,1027,79
1074,4862,657
1075,218,1630
1076,2991,2155
1077,1771,762
1078,2361,1759
1079,3525,1308
1080,1777,1708
1081,1340,1707
1082,4012,1426
1083,2947,1102
1084,2613,1980
1085,3540,2370
1086,1683,2046
1087,3352,2319
1088,2259,701
1089,3234,1509
1090,4443,831
1091,1086,255
1092,1669,835
1093,614,1199
1094,4184,2068
1095,3320,502
1096,1911,368
1097,3528,451
1098,6,2282
1099,785,2020
1100,3772,1565
1101,1413,91
1102,4892,842
1103,3429,445
1104,2405,122
1105,2214,1308
1106,4798,1180
1107,3144,461
1108,3703,2145
1109,3646,1611
1110,1875,1061
1111,1281,322
1112,2554,595
1113,4450,847
1114,3385,523
1115,1220,2298
1116,150,1630
1117,1652,1955
1118,2918,1811
1119,4291,36
1120,2959,1812
1121,3632,400
1122,868,1092
1123,1836,1483
1124,4503,858
1125,487,2154
1126,1206,1087
1127,1144,209
1128,2140,1894
1129,4748,662
1130,1539,738
1131,2315,205
1132,2010,323
1133,144,2165
1134,2775,1883
1135,1720,2247
1136,2816,1884
1137,2718,1349
1138,663,286
1139,2058,2242
1140,201,1918
1141,1560,1965
1142,63,1984
1143,89,953
1144,1503,1431
1145,1157,40
1146,833,1636
1147,1614,1447
1148,3551,1700
1149,259,2273
1150,1517,1514
1151,1023,979
1152,3853,2038
1153,90,774
1154,368,2216
1155,3004,26
1156,839,1801
1157,266,1939
1158,2105,1657
1159,2141,1314
1160,4875,1911
1161,3008,899
1162,1669,2258
1163,2541,2187
1164,1137,2397
1165,72,2073
1166,4091,1048
1167,51,1196
1168,3592,169
1169,2444,2254
1170,2664,308
1171,3218,1648
1172,1700,790
1173,291,656
1174,4059,2264
1175,1111,395
1176,1722,2269
1177,3809,1335
1178,538,533
1179,3215,596
1180,968,117
1181,1410,462
1182,2373,509
1183,4618,915
1184,3204,437
1185,475,184
1186,1784,114
1187,4769,330
1188,4896,105
1189,3948,1120
1190,2096,1140
1191,2430,262
1192,3728,2285
1193,4108,1752
1194,2699,1618
1195,4194,1526
1196,1267,534
1197,246,482
1198,2584,1079
1199,3425,1695
1200,3019,1007
1201,3886,592
1202,703,1889
1203,4001,350
1204,4653,2225
1205,2349,1212
1206,4651,2152
1207,1197,1643
1208,2971,212
1209,3134,1896
1210,1288,1761
1211,145,26
1212,663,1709
1213,418,1124
1214,4207,1357
1215,3431,1890
1216,4397,700
1217,4498,1506
1218,355,775
1219,1227,704
1220,3524,1300
1221,3514,612
1222,4836,1501
1223,3823,1367
1224,2767,2260
1225,4551,1517
1226,864,1591
1227,1839,2399
1228,3014,2137
1229,2957,1603
1230,2983,572
1231,4449,1240
1232,2489,37
1233,3387,1187
1234,1147,1125
1235,240,2141
1236,556,657
1237,352,103
1238,2721,2265
1239,1005,668
1240,2885,387
1241,3367,161
1242,142,1956
1243,2871,2209
1244,1748,1880
1245,4707,875
1246,3303,1085
1247,1159,1485
1248,1097,607
1249,3800,1891
1250,753,797
1251,2506,741
1252,1102,951
1253,2523,1876
1254,1031,2239
1255,1344,484
1256,661,1208
1257,3708,2302
1258,229,1551
1259,2211,69
1260,867,1084
1261,3174,2368
1262,2825,2214
1263,3138,459
1264,1677,135
1265,832,2029
1266,1929,356
1267,1676,664
1268,1918,197
1269,591,2317
1270,923,1366
1271,3693,1620
1272,2571,762
1273,47,1695
1274,1232,2121
1275,1540,22
1276,3821,85
1277,2940,2322
1278,237,1038
1279,4466,1543
1280,1950,1583
1281,42,570
1282,986,2065
1283,1017,1378
1284,673,1568
1285,3596,906
1286,1170,2374
1287,4119,681
1288,1623,2127
1289,821,1439
1290,4771,1775
1291,2811,572
1292,729,1850
1293,1027,1315
1294,4826,2236
1295,1508,1588
1296,2709,295
1297,3987,912
1298,1218,1260
1299,3515,1856
1300,3520,2200
1301,2327,378
1302,4290,1852
1303,2387,1183
1304,520,171
1305,1311,670
1306,2199,1132
1307,2853,424
1308,3040,1748
1309,2572,182
1310,3007,110
1311,2105,1470
1312,1859,2195
1313,295,992
1314,3471,1934
1315,3782,106
1316,982,1141
1317,1851,799
1318,1567,1794
1319,4192,1667
1320,3528,1687
1321,4469,255
1322,4090,1390
1323,2696,2288
1324,1189,1619
1325,4587,2196
1326,1199,2307
1327,1127,741
1328,788,1275
1329,4113,1559
1330,1410,275
1331,1871,1424
1332,4548,1487
1333,2271,2297
1334,3716,2088
1335,4552,2360
1336,2747,2226
1337,2143,799
1338,687,819
1339,1585,1969
1340,2963,538
1341,4195,810
1342,2405,1708
1343,210,1419
1344,924,8
1345,3554,225
1346,3707,1221
1347,2272,2118
1348,4538,1149
1349,2676,481
1350,3108,138
1351,1236,1034
1352,2108,963
1353,2474,2252
1354,1980,1717
1355,1448,1856
1356,2456,1646
1357,4774,867
1358,1544,2318
1359,4498,969
1360,3099,1523
1361,1380,1163
1362,2940,712
1363,426,2333
1364,233,1938
1365,262,1178
1366,1134,1107
1367,4489,102
1368,915,1743
1369,3176,430
1370,3652,359
1371,4560,2197
1372,4453,1576
1373,1870,394
1374,3833,1868
1375,4361,1987
1376,622,1871
1377,838,183
1378,3921,934
1379,3009,1606
1380,2418,1138
1381,3756,308
1382,4540,390
1383,3967,528
1384,1823,928
1385,3106,1889
1386,1317,2288
1387,1537,342
1388,3598,2351
1389,728,1893
1390,676,1703
1391,4377,2089
1392,2418,1488
1393,4111,657
1394,2311,867
1395,2154,2381
1396,2123,816
1397,4461,1413
1398,2615,1278
1399,2558,744
1400,4014,724
1401,696,76
1402,1062,1365
1403,805,19
1404,4574,2229
1405,4445,129
1406,1246,893
1407,4129,832
1408,2821,1504
1409,3196,627
1410,714,251
1411,2328,1571
1412,831,1590
1413,4102,140
1414,1323,2052
1415,1364,2053
1416,1356,657
1417,160,2324
1418,4590,2331
1419,4863,1177
1420,1967,1750
1421,4238,1125
1422,3555,1849
1423,2529,1453
1424,34,2370
1425,4084,658
1426,1940,1058
1427,3177,1674
1428,3172,1330
1429,1711,1006
1430,4044,1259
1431,2213,2156
1432,4023,382
1433,1275,1607
1434,1213,729
1435,96,215
1436,4356,2285
1437,1658,1345
1438,2926,1274
1439,1993,1069
1440,1991,996
1441,1306,139
1442,4324,1249
1443,4377,129
1444,4013,2296
1445,245,688
1446,1195,2028
1447,4438,1536
1448,2602,2089
1449,3443,453
1450,1612,1350
1451,4690,1757
1452,4716,726
1453,1851,612
1454,4158,1896
1455,4127,331
1456,106,1283
1457,3189,2034
1458,4025,2306
1459,2502,1104
1460,754,1504
1461,1189,1432
1462,1564,555
1463,4236,274
1464,2061,1361
1465,4342,1424
1466,1436,1309
1467,2866,68
1468,1066,278
1469,3774,1906
1470,1912,1238
1471,2394,1012
1472,1339,1376
1473,4742,2297
1474,836,755
1475,3487,1849
1476,383,221
1477,1739,2249
1478,3521,1433
1479,3609,1280
1480,1093,1320
1481,2462,2055
1482,3288,1639
1483,3241,1793
1484,2553,2173
1485,1056,2192
1486,4824,1548
1487,4671,552
1488,2394,1362
1489,1329,1038
1490,3564,756
1491,3512,566
1492,370,1864
1493,298,298
1494,375,2208
1495,3914,1512
1496,2011,843
1497,2441,427
1498,1047,1325
1499,1422,448
1500,2597,186
1501,3758,972
1502,1953,838
1503,1349,1663
1504,2786,58
1505,4811,2410
1506,4457,1912
1507,126,1130
1508,3832,1860
1509,3379,1326
1510,3094,1342
1511,3863,392
1512,776,2151
1513,1161,1962
1514,1526,397
1515,3705,183
1516,2772,2230
1517,1270,1905
1518,3567,249
1519,2233,1952
1520,1837,1952
1521,3982,2154
1522,3696,1568
1523,1891,1434
1524,1824,212
1525,2039,2086
1526,2264,484
1527,4320,2149
1528,2635,2117
1529,2327,1964
1530,4844,614
1531,4561,2211
1532,4179,1163
1533,4117,285
1534,4158,286
1535,2353,152
1536,111,17
1537,2747,79
1538,4710,1553
1539,2122,27
1540,3720,814
1541,881,1921
1542,1251,700
1543,855,700
1544,2928,1588
1545,4521,2031
1546,1620,2260
1547,159,1936
1548,3989,2170
1549,3896,1979
1550,625,1177
1551,1466,1793
1552,911,982
1553,1272,1927
1554,3663,1404
1555,2949,563
1556,4139,1333
1557,87,720
1558,3170,1471
1559,2764,783
1560,1026,1871
1561,432,1132
1562,3935,779
1563,2508,39
1564,1052,59
1565,4748,101
1566,4226,928
1567,986,1691
1568,2226,326
1569,1777,2220
1570,3494,255
1571,4048,1595
1572,2038,275
1573,1811,1804
1574,1160,531
1575,2438,1148
1576,1459,598
1577,1956,1404
1578,1930,183
1579,104,1424
1580,2,1147
1581,275,2245
1582,4879,1873
1583,1124,1224
1584,582,675
1585,4004,892
1586,2305,1908
1587,2675,687
1588,4597,2160
1589,3126,1148
1590,3136,1836
1591,2009,634
1592,2629,342
1593,1178,706
1594,3602,1077
1595,2105,1096
1596,4880,1694
1597,854,2302
1598,1010,2061
1599,270,2251
1600,1911,1230
1601,70,1439
1602,3817,2170
1603,393,372
1604,3528,1313
1605,1286,1178
1606,3244,2308
1607,3963,1241
1608,3223,1431
1609,2189,420
1610,1292,2124
1611,449,1435
1612,2071,1862
1613,1436,1122
1614,1092,1312
1615,3743,154
1616,503,917
1617,71,1260
1618,2896,1975
1619,1774,1117
1620,26,1517
1621,4208,2176
1622,1216,35
1623,3518,975
1624,1959,116
1625,1312,497
1626,3948,559
1627,374,2200
1628,4234,364
1629,3574,1257
1630,1769,1123
1631,4688,719
1632,4287,375
1633,667,1671
1634,1878,1066
1635,1513,379
1636,2473,2407
1637,2760,1683
1638,3565,390
1639,3088,990
1640,1632,1010
1641,4400,1191
1642,4739,657
1643,1545,1765
1644,1631,1539
1645,1340,609
1646,3776,1741
1647,4175,2012
1648,1711,2242
1649,3961,740
1650,755,1087
1651,187,1569
1652,4361,1613
1653,3741,1905
1654,3335,1217
1655,3085,288
1656,681,1323
1657,3506,2038
1658,3767,93
1659,2881,1986
1660,3858,211
1661,217,630
1662,1886,903
1663,4167,966
1664,3157,1103
1665,3628,688
1666,794,2139
1667,861,1109
1668,3106,1515
1669,926,2258
1670,854,692
1671,3901,1786
1672,2040,1720
1673,4712,1439
1674,603,292
1675,1444,908
1676,3772,817
1677,2373,1371
1678,354,2217
1679,4526,2188
1680,4333,1793
1681,1000,113
1682,62,1816
1683,1875,313
1684,3205,1120
1685,2866,1654
1686,4364,325
1687,2733,2064
1688,3786,119
1689,88,4
1690,2478,791
1691,3923,582
1692,4816,1388
1693,2025,257
1694,3319,1407
1695,2517,719
1696,1712,2012
1697,3857,2214
1698,550,1755
1699,2425,1130
1700,2294,1613
1701,3789,1521
1702,1165,338
1703,1607,683
1704,3503,935
1705,977,287
1706,4815,1136
1707,4800,104
1708,3304,725
1709,1134,2156
1710,74,2176
1711,12,1298
1712,2355,2239
1713,3499,412
1714,3027,1356
1715,3402,479
1716,193,555
1717,4329,869
1718,3422,1885
1719,3807,1696
1720,3745,818
1721,3396,664
1722,598,1772
1723,4232,936
1724,2396,1489
1725,992,1699
1726,3109,607
1727,1371,1695
1728,4452,2373
1729,116,1247
1730,2829,967
1731,2767,89
1732,3285,1772
1733,936,986
1734,3207,361
1735,824,21
1736,2224,2321
1737,4818,629
1738,2972,494
1739,3469,1300
1740,4193,577
1741,542,308
1742,4690,1383
1743,4838,2035
1744,4153,1178
1745,3132,1126
1746,3722,2123
1747,384,2351
1748,4592,1979
1749,1132,524
1750,1722,1521
1751,1321,1177
1752,4306,1393
1753,543,129
1754,1154,2003
1755,2100,915
1756,1532,1397
1757,71,1073
1758,4214,1804
1759,2870,567
1760,2589,325
1761,810,1412
1762,3143,1665
1763,2215,1804
1764,150,2305
1765,3517,1317
1766,4759,2277
1767,616,1546
1768,3298,1953
1769,2486,577
1770,2606,679
1771,524,1957
1772,1730,1008
1773,4006,727
1774,1790,1813
1775,1483,350
1776,4871,239
1777,4248,260
1778,2909,1619
1779,4344,722
1780,2888,742
1781,1099,1141
1782,1477,535
1783,2473,2220
