,u,v
533,1391,4384
534,3953,4384
535,4211,4384
536,2166,4384
537,2939,4384
538,2428,4384
539,3837,4384
540,2466,2468
541,2217,2466
542,1326,2466
543,2101,2466
544,1721,2466
545,1722,2466
546,2466,4153
547,2364,2466
548,2466,4038
549,1863,2466
550,2466,4294
551,2466,4295
552,2379,2466
553,2466,2636
554,1877,2466
555,1627,2466
556,2466,4706
557,2403,2466
558,1128,2466
559,492,2466
560,2413,2466
561,1391,2466
562,2466,3953
563,2466,4211
564,2166,2466
565,2466,2939
566,2428,2466
567,2466,3837
568,2217,2468
569,1326,2468
570,2101,2468
571,1721,2468
572,1722,2468
573,2468,4153
574,2364,2468
575,2468,4038
576,1863,2468
577,2468,4294
578,2468,4295
579,2379,2468
580,2468,2636
581,1877,2468
582,1627,2468
583,2468,4706
584,2403,2468
585,1128,2468
586,492,2468
587,2413,2468
588,1391,2468
589,2468,3953
590,2468,4211
591,2166,2468
592,2468,2939
593,2428,2468
594,2468,3837
595,1326,2217
596,2101,2217
597,1721,2217
598,1722,2217
599,2217,4153
600,2217,2364
601,2217,4038
602,1863,2217
603,2217,4294
604,2217,4295
605,2217,2379
606,2217,2636
607,1877,2217
608,1627,2217
609,2217,4706
610,2217,2403
611,1128,2217
612,492,2217
613,2217,2413
614,1391,2217
615,2217,3953
616,2217,4211
617,2166,2217
618,2217,2939
619,2217,2428
620,2217,3837
621,1326,2101
622,1326,1721
623,1326,1722
624,1326,4153
625,1326,2364
626,1326,4038
627,1326,1863
628,1326,4294
629,1326,4295
630,1326,2379
631,1326,2636
632,1326,1877
633,1326,1627
634,1326,4706
635,1326,2403
636,1128,1326
637,492,1326
638,1326,2413
639,1326,1391
640,1326,3953
641,1326,4211
642,1326,2166
643,1326,2939
644,1326,2428
645,1326,3837
646,1721,2101
647,1722,2101
648,2101,4153
649,2101,2364
650,2101,4038
651,1863,2101
652,2101,4294
653,2101,4295
654,2101,2379
655,2101,2636
656,1877,2101
657,1627,2101
658,2101,4706
659,2101,2403
660,1128,2101
661,492,2101
662,2101,2413
663,1391,2101
664,2101,3953
665,2101,4211
666,2101,2166
667,2101,2939
668,2101,2428
669,2101,3837
670,1721,1722
671,1721,4153
672,1721,2364
673,1721,4038
674,1721,1863
675,1721,4294
676,1721,4295
677,1721,2379
678,1721,2636
679,1721,1877
680,1627,1721
681,1721,4706
682,1721,2403
683,1128,1721
684,492,1721
685,1721,2413
686,1391,1721
687,1721,3953
688,1721,4211
689,1721,2166
690,1721,2939
691,1721,2428
692,1721,3837
693,1722,4153
694,1722,2364
695,1722,4038
696,1722,1863
697,1722,4294
698,1722,4295
699,1722,2379
700,1722,2636
701,1722,1877
702,1627,1722
703,1722,4706
704,1722,2403
705,1128,1722
706,492,1722
707,1722,2413
708,1391,1722
709,1722,3953
710,1722,4211
711,1722,2166
712,1722,2939
713,1722,2428
714,1722,3837
715,2364,4153
716,4038,4153
717,1863,4153
718,4153,4294
719,4153,4295
720,2379,4153
721,2636,4153
722,1877,4153
723,1627,4153
724,4153,4706
725,2403,4153
726,1128,4153
727,492,4153
728,2413,4153
729,1391,4153
730,3953,4153
731,4153,4211
732,2166,4153
733,2939,4153
734,2428,4153
735,3837,4153
736,2364,4038
737,1863,2364
738,2364,4294
739,2364,4295
740,2364,2379
741,2364,2636
742,1877,2364
743,1627,2364
744,2364,4706
745,2364,2403
746,1128,2364
747,492,2364
748,2364,2413
749,1391,2364
750,2364,3953
751,2364,4211
752,2166,2364
753,2364,2939
754,2364,2428
755,2364,3837
756,1863,4038
757,4038,4294
758,4038,4295
759,2379,4038
760,2636,4038
761,1877,4038
762,1627,4038
763,4038,4706
764,2403,4038
765,1128,4038
766,492,4038
767,2413,4038
768,1391,4038
769,3953,4038
770,4038,4211
771,2166,4038
772,2939,4038
773,2428,4038
774,3837,4038
775,1863,4294
776,1863,4295
777,1863,2379
778,1863,2636
779,1863,1877
780,1627,1863
781,1863,4706
782,1863,2403
783,1128,1863
784,492,1863
785,1863,2413
786,1391,1863
787,1863,3953
788,1863,4211
789,1863,2166
790,1863,2939
791,1863,2428
792,1863,3837
793,4294,4295
794,2379,4294
795,2636,4294
796,1877,4294
797,1627,4294
798,4294,4706
799,2403,4294
800,1128,4294
801,492,4294
802,2413,4294
803,1391,4294
804,3953,4294
805,4211,4294
806,2166,4294
807,2939,4294
808,2428,4294
809,3837,4294
810,2379,4295
811,2636,4295
812,1877,4295
813,1627,4295
814,4295,4706
815,2403,4295
816,1128,4295
817,492,4295
818,2413,4295
819,1391,4295
820,3953,4295
821,4211,4295
822,2166,4295
823,2939,4295
824,2428,4295
825,3837,4295
826,2379,2636
827,1877,2379
828,1627,2379
829,2379,4706
830,2379,2403
831,1128,2379
832,492,2379
833,2379,2413
834,1391,2379
835,2379,3953
836,2379,4211
837,2166,2379
838,2379,2939
839,2379,2428
840,2379,3837
841,1877,2636
842,1627,2636
843,2636,4706
844,2403,2636
845,1128,2636
846,492,2636
847,2413,2636
848,1391,2636
849,2636,3953
850,2636,4211
851,2166,2636
852,2636,2939
853,2428,2636
854,2636,3837
855,1627,1877
856,1877,4706
857,1877,2403
858,1128,1877
859,492,1877
860,1877,2413
861,1391,1877
862,1877,3953
863,1877,4211
864,1877,2166
865,1877,2939
866,1877,2428
867,1877,3837
868,1627,4706
869,1627,2403
870,1128,1627
871,492,1627
872,1627,2413
873,1391,1627
874,1627,3953
875,1627,4211
876,1627,2166
877,1627,2939
878,1627,2428
879,1627,3837
880,2403,4706
881,1128,4706
882,492,4706
883,2413,4706
884,1391,4706
885,3953,4706
886,4211,4706
887,2166,4706
888,2939,4706
889,2428,4706
890,3837,4706
891,1128,2403
892,492,2403
893,2403,2413
894,1391,2403
895,2403,3953
896,2403,4211
897,2166,2403
898,2403,2939
899,2403,2428
900,2403,3837
901,492,1128
902,1128,2413
903,1128,1391
904,1128,3953
905,1128,4211
906,1128,2166
907,1128,2939
908,1128,2428
909,1128,3837
910,492,2413
911,492,1391
912,492,3953
913,492,4211
914,492,2166
915,492,2939
916,492,2428
917,492,3837
918,1391,2413
919,2413,3953
920,2413,4211
921,2166,2413
922,2413,2939
923,2413,2428
924,2413,3837
925,1391,3953
926,1391,4211
927,1391,2166
928,1391,2939
929,1391,2428
930,1391,3837
931,3953,4211
932,2166,3953
933,2939,3953
934,2428,3953
935,3837,3953
936,2166,4211
937,2939,4211
938,2428,4211
939,3837,4211
940,2166,2939
941,2166,2428
942,2166,3837
943,2428,2939
944,2939,3837
945,2428,3837
946,220,4779
947,1541,3251
948,51,854
949,3443,4043
950,823,3199
951,1590,2570
952,259,3120
953,158,247
954,1860,2472
955,3294,4065
956,2623,3285
957,1244,3595
958,1748,3251
959,1541,2782
960,823,2618
961,2213,2472
962,489,2782
963,0,4421
964,1156,1530
965,1122,1244
966,34,2175
967,64,1712
968,1541,2213
969,630,1225
970,3251,4421
971,2175,2743
972,2666,3521
973,493,1066
974,3208,3595
975,3302,4805
976,435,1244
977,2921,3225
978,1083,2782
979,3302,3338
980,2614,4065
981,1727,4421
982,34,4789
983,49,1051
984,3294,4043
985,104,3338
986,1748,2583
987,628,3421
988,51,3031
989,435,1572
990,3208,4043
991,643,4241
992,876,4065
993,538,2234
994,2614,4683
995,2921,4241
996,1712,1814
997,1233,3595
998,0,489
999,2621,3802
1000,2496,3338
1001,630,4809
1002,1211,3120
1003,2623,4065
1004,1225,1244
1005,2955,4065
1006,2213,2782
1007,574,1860
1008,3338,3416
1009,1572,3338
1010,1233,1748
1011,3208,4065
1012,1597,4162
1013,51,3208
1014,643,4065
1015,2213,2234
1016,2175,2213
1017,139,1572
1018,628,3251
1019,876,4587
1020,1201,2614
1021,247,4805
1022,1122,3443
1023,3031,4683
1024,1597,3294
1025,1704,3624
1026,4065,4789
1027,435,3208
1028,1233,3416
1029,0,1139
1030,158,538
1031,1590,2869
1032,2234,3285
1033,1225,2730
1034,1590,2583
1035,2947,3120
1036,823,3285
1037,247,493
1038,3802,4102
1039,1530,4683
1040,259,3810
1041,493,1970
1042,2621,4421
1043,854,2666
1044,1500,3338
1045,1051,3810
1046,1704,3421
1047,823,1500
1048,1500,4779
1049,0,4587
1050,51,2666
1051,3416,4421
1052,1814,2614
1053,2496,2570
1054,1970,2955
1055,1500,4162
1056,1814,3294
1057,1727,3787
1058,3031,3771
1059,64,2234
1060,1970,2583
1061,1970,4065
1062,574,1541
1063,2472,3285
1064,1826,4813
1065,630,2496
1066,2730,3225
1067,51,3302
1068,2234,2623
1069,3120,3624
1070,247,4251
1071,3338,4683
1072,1156,4421
1073,630,1597
1074,2730,2947
1075,1211,2531
1076,64,1704
1077,34,3208
1078,3443,4805
1079,247,1970
1080,104,1139
1081,2869,4043
1082,3225,4251
1083,435,2614
1084,2531,3521
1085,1201,3802
1086,1704,4587
1087,1225,3251
1088,2955,4251
1089,49,2666
1090,823,1970
1091,64,1156
1092,854,1814
1093,139,574
1094,1530,4043
1095,1590,2213
1096,630,876
1097,1122,1156
1098,2618,4683
1099,0,1860
1100,2743,3624
1101,2614,4789
1102,158,3285
1103,1500,3416
1104,630,4241
1105,3416,3787
1106,1727,3251
1107,1201,4062
1108,1083,1225
1109,34,104
1110,1530,3802
1111,493,2531
1112,1083,3031
1113,49,4421
1114,139,1156
1115,538,3416
1116,3285,4043
1117,64,2531
1118,643,4043
1119,3338,4062
1120,1201,4102
1121,104,4868
1122,493,1572
1123,49,3595
1124,643,4805
1125,3199,4683
1126,3251,3624
1127,489,4779
1128,1541,1572
1129,1748,2743
1130,1590,3208
1131,1860,2955
1132,1860,3294
1133,2618,4789
1134,3251,4065
1135,1201,1244
1136,538,4809
1137,3208,4587
1138,1727,2743
1139,1704,3294
1140,2921,2955
1141,493,2782
1142,1500,1530
1143,3787,4065
1144,3294,4813
1145,51,643
1146,1970,2213
1147,158,2618
1148,435,3285
1149,2782,3285
1150,259,2782
1151,1530,3031
1152,259,2234
1153,3251,3338
1154,3294,3624
1155,64,220
1156,1748,2213
1157,2570,3338
1158,2234,2583
1159,247,2621
1160,1201,4779
1161,158,823
1162,1727,3443
1163,247,628
1164,1066,4251
1165,2730,4813
1166,1233,1500
1167,1597,2472
1168,3208,3771
1169,628,3802
1170,51,104
1171,2955,4162
1172,2275,2666
1173,493,3443
1174,628,2570
1175,0,1211
1176,2496,2623
1177,489,4805
1178,1139,4789
1179,139,3787
1180,3294,3595
1181,823,3416
1182,1597,3802
1183,49,259
1184,823,2275
1185,259,4868
1186,823,2583
1187,1826,3031
1188,104,823
1189,1201,1597
1190,64,1201
1191,4683,4779
1192,139,1244
1193,2472,4587
1194,259,4789
1195,630,4421
1196,3031,3802
1197,2623,4789
1198,1066,1712
1199,1225,3208
1200,2275,2869
1201,3120,3443
1202,1225,1233
1203,34,1051
1204,1590,1748
1205,4251,4868
1206,1211,3294
1207,1748,2921
1208,643,1572
1209,220,247
1210,1748,3521
1211,1244,4421
1212,3443,4241
1213,1500,3294
1214,3296,3421
1215,2623,3416
1216,876,1572
1217,4162,4789
1218,51,139
1219,1727,1826
1220,3416,4065
1221,3285,4065
1222,643,3338
1223,1572,4421
1224,259,2614
1225,538,4043
1226,823,854
1227,139,4587
1228,1156,4813
1229,2234,3443
1230,1211,4251
1231,1727,2621
1232,3251,4102
1233,2531,4809
1234,4062,4805
1235,876,1500
1236,2955,3338
1237,1826,3296
1238,876,2234
1239,2614,3822
1240,259,1066
1241,1122,2614
1242,493,3416
1243,49,4043
1244,2955,3802
1245,2570,3802
1246,574,2531
1247,1727,2496
1248,489,1156
1249,1597,3302
1250,3302,3802
1251,3199,4805
1252,1541,4805
1253,1244,4043
1254,1139,4102
1255,104,4683
1256,1704,4162
1257,2570,3787
1258,49,158
1259,158,2472
1260,34,3302
1261,435,1814
1262,220,4421
1263,2623,3251
1264,538,3822
1265,1860,2621
1266,2955,3302
1267,1748,3810
1268,2869,3294
1269,2621,3338
1270,220,628
1271,4162,4683
1272,3199,3294
1273,643,1826
1274,2531,4062
1275,643,3521
1276,3120,4162
1277,3285,3421
1278,1083,3225
1279,2275,4809
1280,3199,3521
1281,1083,4809
1282,104,4102
1283,1530,1572
1284,247,2730
1285,574,3285
1286,1826,2234
1287,3120,4779
1288,1244,2955
1289,3031,3443
1290,2496,4043
1291,2618,2743
1292,2234,2869
1293,1244,1970
1294,34,2234
1295,64,823
1296,0,2213
1297,4241,4809
1298,1156,2213
1299,1233,3225
1300,104,220
1301,2623,4102
1302,2618,2869
1303,1814,3521
1304,1083,4241
1305,1083,2955
1306,2921,4043
1307,630,1970
1308,1156,2955
1309,3294,4587
1310,64,3296
1311,247,435
1312,1590,3031
1313,489,3802
1314,4779,4868
1315,1541,3521
1316,3294,3443
1317,1244,2472
1318,1541,4587
1319,3771,4241
1320,220,3225
1321,139,1122
1322,158,3338
1323,1156,3771
1324,876,2621
1325,2618,3208
1326,1139,3120
1327,1860,4809
1328,4587,4683
1329,574,2730
1330,823,3421
1331,259,630
1332,3338,3787
1333,1814,3822
1334,2175,3421
1335,3787,4162
1336,854,2743
1337,34,49
1338,628,4043
1339,1530,3421
1340,854,3822
1341,876,1530
1342,1970,2531
1343,1712,4683
1344,1233,2955
1345,2175,2955
1346,538,1597
1347,574,3810
1348,538,1083
1349,2275,4241
1350,1201,2666
1351,1597,4809
1352,1860,3199
1353,854,3521
1354,2213,2743
1355,104,3822
1356,2213,2275
1357,2472,3208
1358,1083,4421
1359,1211,2730
1360,220,4813
1361,1225,2621
1362,2570,4062
1363,158,2570
1364,1201,2955
1365,1244,1597
1366,435,3624
1367,220,1233
1368,2496,4683
1369,64,2275
1370,139,4868
1371,3338,4587
1372,2472,3802
1373,4251,4779
1374,2496,3810
1375,2213,4421
1376,1572,2869
1377,628,3031
1378,1066,4805
1379,220,2947
1380,49,1066
1381,34,489
1382,49,3199
1383,1066,2947
1384,104,574
1385,2275,4587
1386,2472,3294
1387,1225,3338
1388,574,2472
1389,2275,2531
1390,3031,4789
1391,2275,2570
1392,220,3624
1393,3421,4779
1394,1860,4421
1395,1122,4251
1396,1211,4805
1397,1597,4587
1398,2175,4683
1399,630,3208
1400,1122,2531
1401,247,4421
1402,1122,3771
1403,854,2730
1404,1225,3285
1405,247,854
1406,435,2623
1407,2175,3302
1408,247,489
1409,489,2618
1410,1066,1860
1411,1970,3302
1412,854,2947
1413,538,4779
1414,574,4162
1415,1244,3771
1416,854,4421
1417,2175,2618
1418,4102,4809
1419,220,1727
1420,643,1500
1421,3285,4779
1422,1122,3208
1423,2175,4813
1424,1156,1860
1425,1597,3285
1426,2743,4065
1427,158,1590
1428,1860,2213
1429,64,4805
1430,1704,2531
1431,1066,3810
1432,1244,2621
1433,489,2275
1434,64,3208
1435,1211,4813
1436,574,3296
1437,4809,4868
1438,854,1051
1439,1083,3251
1440,1712,2234
1441,2730,3771
1442,49,4868
1443,220,259
1444,2618,2666
1445,259,4043
1446,2531,2869
1447,823,1156
1448,1748,3120
1449,1590,1814
1450,2175,3199
1451,823,3822
1452,2496,3251
1453,3521,4065
1454,628,1156
1455,2213,3624
1456,64,259
1457,3199,3787
1458,2175,4043
1459,3294,4868
1460,2869,4868
1461,158,4587
1462,2583,2782
1463,1590,2496
1464,1572,4587
1465,1860,2782
1466,1233,3771
1467,3302,4241
1468,2496,2583
1469,1244,3296
1470,628,1572
1471,51,1500
1472,3225,3296
1473,854,1233
1474,823,2213
1475,1083,4062
1476,1727,3031
1477,220,2570
1478,2614,4251
1479,2496,4421
1480,1500,4683
1481,1970,2496
1482,2623,3787
1483,1704,4043
1484,1066,1233
1485,3624,4251
1486,64,3302
1487,34,1122
1488,3251,4805
1489,1541,4683
1490,2583,2614
1491,2743,3822
1492,2275,3595
1493,51,4251
1494,630,1860
1495,854,3338
1496,1530,1590
1497,247,4789
1498,1066,4809
1499,3421,3802
1500,259,876
1501,1122,2623
1502,1590,4065
1503,493,4241
1504,489,628
1505,1814,4868
1506,49,3421
1507,435,643
1508,538,1541
1509,2921,4587
1510,1572,4102
1511,1590,2921
1512,1597,4683
1513,1814,2621
1514,1590,3338
1515,1860,2618
1516,4251,4789
1517,1500,4065
1518,3810,4065
1519,435,2666
1520,1083,3338
1521,3810,4102
1522,4241,4789
1523,1748,1860
1524,1156,3338
1525,1139,4868
1526,2472,4102
1527,435,2921
1528,247,4813
1529,2955,4102
1530,34,1211
1531,1530,2730
1532,4043,4789
1533,51,3421
1534,51,3771
1535,628,3595
1536,139,2531
1537,1066,3199
1538,1201,1860
1539,1066,1970
1540,643,3294
1541,4241,4421
1542,823,1201
1543,3302,3810
1544,489,630
1545,3771,4065
1546,1211,2583
1547,1066,2730
1548,1712,3443
1549,1826,3810
1550,1572,3302
1551,3416,3421
1552,493,1225
1553,2955,4421
1554,2175,4868
1555,1139,4065
1556,2623,3296
1557,1712,1727
1558,1970,2623
1559,1748,4102
1560,3822,4065
1561,2621,2666
1562,49,4062
1563,1860,2743
1564,2275,4421
1565,1122,1211
1566,489,3787
1567,3810,4251
1568,1727,4065
1569,3338,4251
1570,3624,4779
1571,247,2583
1572,3199,3225
1573,628,1541
1574,34,1541
1575,64,2496
1576,1233,3294
1577,3294,3787
1578,247,1814
1579,104,1572
1580,1083,1727
1581,1597,2618
1582,2921,3810
1583,51,1704
1584,104,643
1585,104,2618
1586,628,1083
1587,2621,4102
1588,538,643
1589,1814,3296
1590,220,3294
1591,2730,3338
1592,1500,2496
1593,2730,4789
1594,139,3031
1595,2570,3421
1596,1139,1704
1597,489,2921
1598,51,1233
1599,1704,3225
1600,3208,4809
1601,51,574
1602,1083,3810
1603,247,3595
1604,3031,3294
1605,3443,4162
1606,2531,2623
1607,1122,1748
1608,823,4102
1609,1201,4162
1610,1244,2666
1611,3421,4162
1612,1156,3421
1613,435,1826
1614,3225,3771
1615,1814,3787
1616,1066,2275
1617,1225,3302
1618,158,3802
1619,104,4587
1620,1122,1826
1621,2583,2955
1622,4065,4587
1623,1826,3771
1624,247,1244
1625,1201,3031
1626,1597,2175
1627,2275,2921
1628,0,435
1629,628,3120
1630,538,1530
1631,3208,3443
1632,435,1211
1633,3225,4043
1634,51,3443
1635,4102,4789
1636,2570,2730
1637,823,3120
1638,247,259
1639,247,1156
1640,1156,1233
1641,259,1860
1642,1590,2175
1643,2496,3822
1644,3031,3421
1645,630,4779
1646,2583,4789
1647,220,2496
1648,158,4868
1649,1233,3443
1650,3031,3822
1651,1970,3285
1652,574,4062
1653,1500,1860
1654,574,1066
1655,3296,4789
1656,823,1225
1657,1590,4587
1658,1244,2782
1659,1139,2921
1660,1051,2743
1661,2921,2947
1662,1860,4065
1663,1860,2583
1664,1590,2614
1665,2175,2730
1666,1590,2472
1667,3296,3802
1668,2234,2782
1669,4241,4587
1670,1083,4587
1671,1066,2921
1672,538,1814
1673,823,4162
1674,854,3296
1675,3624,3810
1676,4421,4813
1677,1139,2623
1678,2782,3251
1679,2570,4043
1680,139,1704
1681,538,3225
1682,259,3521
1683,435,4421
1684,2531,4241
1685,51,489
1686,1814,2570
1687,1156,2869
1688,1500,1572
1689,2275,2743
1690,2213,3338
1691,2618,2623
1692,2618,4043
1693,574,2175
1694,643,3421
1695,2496,4868
1696,1139,4062
1697,538,1122
1698,4251,4813
1699,1225,2618
1700,3296,4065
1701,2955,3208
1702,247,1051
1703,1233,1860
1704,1156,2531
1705,259,1530
1706,1201,3208
1707,1211,4065
1708,2213,3822
1709,2618,3787
1710,0,2531
1711,2947,4251
1712,51,247
1713,435,2743
1714,2947,2955
